,Disease,Cure name
145,Lachnoclostridium phytofermentans infections,"Metronidazole, Vancomycin"
146,Acetivibrio thermocellus infections,No specific treatment required
147,Nitrosomonas europaea infections,No specific treatment required
163,Vibrio infections,"Doxycycline, Ciprofloxacin"
164,Alcaligenes infections,"Piperacillin-tazobactam, Meropenem"
165,Lactobacillus helveticus infections,No specific treatment required
166,Verticillium dahliae infections,No specific treatment required
167,Taenia ovis infections,"Praziquantel, Albendazole"
168,Clostridium kluyveri infections,"Metronidazole, Vancomycin"
169,Cupriavidus necator infections,No specific treatment required
170,Arthrobacter infections,No specific treatment required
171,Pseudomonas infections,"Piperacillin-tazobactam, Ciprofloxacin"
172,Acinetobacter baumannii infections,"Colistin, Tigecycline"
173,Ancylobacter novellus infections,No specific treatment required
174,Burkholderia pseudomallei infections,"Ceftazidime, Meropenem"
175,Cereibacter sphaeroides infections,No specific treatment required
176,Chromohalobacter salexigens infections,No specific treatment required
177,Paracoccus denitrificans infections,No specific treatment required
178,Planctopirus limnophila infections,No specific treatment required
179,Bordetella bronchiseptica infections,"Trimethoprim-sulfamethoxazole, Doxycycline"
180,Bordetella parapertussis infections,"Trimethoprim-sulfamethoxazole, Doxycycline"
181,Bordetella pertussis infections,"Azithromycin, Erythromycin"
182,Citrobacter koseri,"Ceftriaxone, Ciprofloxacin"
183,Cronobacter sakazakii,"Ampicillin, Gentamicin"
184,Escherichia coli,"Ciprofloxacin, Trimethoprim/Sulfamethoxazole"
186,Escherichia coli,"Nitrofurantoin, Fosfomycin"
187,Klebsiella pneumoniae,"Meropenem, Colistin"
188,Pasteurella multocida,"Amoxicillin/Clavulanate, Doxycycline"
189,Pectobacterium atrosepticum,"Streptomycin, Tetracycline"
190,Salmonella enteritidis,"Ciprofloxacin, Azithromycin"
191,Salmonella typhi,"Ceftriaxone, Azithromycin"
192,Shigella dysenteriae,"Ciprofloxacin, Azithromycin"
193,Shigella flexneri,"Ciprofloxacin, Azithromycin"
194,Shigella sonnei,"Ciprofloxacin, Azithromycin"
195,Vibrio vulnificus,"Doxycycline, Ceftriaxone"
196,Yersinia pestis,"Streptomycin, Doxycycline"
197,Yersinia pseudotuberculosis,"Ciprofloxacin, Doxycycline"
198,Treponema pallidum,"Penicillin G, Doxycycline"
200,Aggregatibacter actinomycetemcomitans,"Amoxicillin, Metronidazole"
201,Candida albicans,"Fluconazole, Amphotericin B"
202,Chlamydia trachomatis,"Azithromycin, Doxycycline"
203,Citrobacter amalonaticus,"Ciprofloxacin, Ceftriaxone"
204,Citrobacter freundii,"Ciprofloxacin, Ceftriaxone"
206,Haemophilus ducreyi,"Azithromycin, Ceftriaxone"
208,Shigella boydii,"Ciprofloxacin, Azithromycin"
211,Helicobacter pylori,"Clarithromycin, Amoxicillin"
212,Neisseria meningitidis,"Ceftriaxone, Penicillin G"
213,Trypanosoma cruzi,"Benznidazole, Nifurtimox"
214,Rabbitpox virus,"Cidofovir, Tecovirimat"
215,Vaccinia virus,"Cidofovir, Tecovirimat"
216,Camelpox virus,"Cidofovir, Tecovirimat"
218,Cowpox virus,"Cidofovir, Tecovirimat"
220,Ectromelia virus,"Cidofovir, Tecovirimat"
221,Myxoma virus,"Cidofovir, Tecovirimat"
222,Rabbit fibroma virus,"Cidofovir, Tecovirimat"
223,Yaba-like disease virus,"Cidofovir, Tecovirimat"
224,Yaba monkey tumor virus,"Cidofovir, Tecovirimat"
225,Loxosceles hirsuta,"Antivenom, Dapsone"
226,Loxosceles reclusa,"Antivenom, Dapsone"
227,Loxosceles spadicea,"Antivenom, Dapsone"
228,Loxosceles intermedia,"Antivenom, Dapsone"
229,Loxosceles gaucho,"Antivenom, Dapsone"
230,Loxosceles similis,"Antivenom, Dapsone"
231,Loxosceles apachea,"Antivenom, Dapsone"
232,Loxosceles arizonica,"Antivenom, Dapsone"
233,Loxosceles deserta,"Antivenom, Dapsone"
234,Loxosceles sabina,"Antivenom, Dapsone"
235,Loxosceles boneti,"Antivenom, Dapsone"
236,Loxosceles variegata,"Antivenom, Dapsone"
237,Loxosceles rufescens,"Antivenom, Dapsone"
238,Loxosceles amazonica,"Antivenom, Dapsone"
239,Qbeta virus,No specific antiviral treatment
240,Escherichia virus Qbeta,No specific antiviral treatment
241,Enterobacteria phage SP,No specific antiviral treatment
242,Escherichia phage T5,No specific antiviral treatment
243,Amsacta moorei entomopoxvirus,No specific antiviral treatment
244,Lumpy skin disease virus,"Cidofovir, Tecovirimat"
245,Molluscum contagiosum virus subtype 1,"Cidofovir, Imiquimod"
247,Sheeppox virus,"Cidofovir, Tecovirimat"
248,Loxosceles laeta,"Antivenom, Dapsone"
249,Phytophthora infestans,"Metalaxyl, Mancozeb"
251,Variola virus,"Cidofovir, Tecovirimat"
252,Mycobacterium gordonae,"Clarithromycin, Rifampicin"
253,Mycobacterium marinum,"Clarithromycin, Rifampicin"
254,Mycobacterium ulcerans,"Rifampicin, Streptomycin"
255,Edwardsiella tarda,"Ciprofloxacin, Doxycycline"
256,Pantoea vagans,"Gentamicin, Amikacin"
257,Rauvolfia serpentina,"Reserpine, Ajmaline"
258,Rauvolfia verticillata,"Reserpine, Ajmaline"
259,Alteromonas agarilytica,"Tetracycline, Chloramphenicol"
260,Thalassotalea agarivorans,"Tetracycline, Chloramphenicol"
261,Kluyveromyces lactis,"Amphotericin B, Fluconazole"
262,Loktanella atrilutea,"Ciprofloxacin, Doxycycline"
263,Amanita exitialis,"Silibinin, Penicillin G"
264,Amanita fuligineoides,"Silibinin, Penicillin G"
265,Amanita rimosa,"Silibinin, Penicillin G"
266,Galerina marginata,"Silibinin, Penicillin G"
267,Amanita bisporigera,"Silibinin, Penicillin G"
268,Amanita fuliginea,"Silibinin, Penicillin G"
269,Amanita phalloides,"Silibinin, Penicillin G"
270,Amanita pallidorosea,"Silibinin, Penicillin G"
271,Streptomyces viridochromogenes,"Streptomycin, Neomycin"
272,Niallia circulans,"Vancomycin, Linezolid"
273,Rhodococcus erythropolis,"Clarithromycin, Rifampicin"
274,Aquifex aeolicus,"Ciprofloxacin, Doxycycline"
275,Rhizobium leguminosarum bv. phaseoli,"Tetracycline, Chloramphenicol"
276,Thermus aquaticus,"Ciprofloxacin, Doxycycline"
277,Thermus thermophilus,"Ciprofloxacin, Doxycycline"
278,Cenchrus ciliaris,Not applicable
279,Cyclocybe aegerita,Not applicable
280,Macrophomina phaseolina,"Thiophanate-methyl, Carbendazim"
281,Adeno-associated virus 2,Not applicable
282,Plasmodium berghei,"Chloroquine, Artemisinin"
283,Toxoplasma gondii,"Pyrimethamine, Sulfadiazine"
284,Penicillium chrysogenum,Not applicable
285,Aquimarina amphilecti,"Ciprofloxacin, Doxycycline"
286,Lupinus angustifolius,Not applicable
287,Geobacter sulfurreducens,"Ciprofloxacin, Doxycycline"
288,Halalkalibacterium halodurans,"Ciprofloxacin, Doxycycline"
289,Bacillus sp.,"Vancomycin, Linezolid"
290,Methylorubrum extorquens,"Ciprofloxacin, Doxycycline"
291,Methanocaldococcus jannaschii,"Ciprofloxacin, Doxycycline"
292,Rhizobium meliloti,"Tetracycline, Chloramphenicol"
293,Saccharolobus solfataricus,"Ciprofloxacin, Doxycycline"
294,Streptomyces griseus,"Streptomycin, Neomycin"
295,Streptomyces virginiae,"Streptomycin, Neomycin"
296,Chlamydia trachomatis serovar L2,"Azithromycin, Doxycycline"
297,Chlamydia trachomatis serovar A,"Azithromycin, Doxycycline"
298,Chlamydia trachomatis serovar L2b,"Azithromycin, Doxycycline"
299,Alcaligenes faecalis,"Ciprofloxacin, Levofloxacin"
300,Ascaris suum,"Albendazole, Mebendazole"
301,Botryotinia fuckeliana,"Iprodione, Fenhexamid"
302,Pyricularia oryzae,"Tricyclazole, Azoxystrobin"
303,Gibberella zeae,"Prothioconazole, Tebuconazole"
304,Penicillium digitatum,"Imazalil, Thiabendazole"
305,Penicillium roqueforti,"Natamycin, Amphotericin B"
306,Streptomyces antibioticus,"Streptomycin, Neomycin"
307,Ajellomyces capsulatus,"Itraconazole, Amphotericin B"
308,Aeromonas salmonicida,"Oxytetracycline, Sulfamerazine"
310,Streptococcus mutans serotype c,"Chlorhexidine, Fluoride"
311,Aspergillus niger,"Itraconazole, Voriconazole"
312,Acinetobacter baumannii,"Imipenem, Colistin"
315,Stenotrophomonas maltophilia,"Trimethoprim-sulfamethoxazole, Levofloxacin"
316,Indian cassava mosaic virus,"Acyclovir, Valacyclovir"
317,Mungbean yellow mosaic virus,"Ribavirin, Sofosbuvir"
318,Tomato yellow leaf curl virus,"Lamivudine, Tenofovir"
319,Tomato yellow leaf curl China virus,"Entecavir, Telbivudine"
320,Tomato yellow leaf curl Sardinia virus,"Adefovir, Emtricitabine"
321,Tomato leaf curl virus,"Zidovudine, Stavudine"
322,Tomato pseudo-curly top virus,"Didanosine, Abacavir"
323,Pepper huasteco yellow vein virus,"Ganciclovir, Cidofovir"
324,Potato yellow mosaic virus,"Foscarnet, Penciclovir"
325,Squash leaf curl virus,"Trifluridine, Brivudine"
326,Acinetobacter baumannii,"Imipenem, Meropenem, Colistin"
327,Actinobacillus pleuropneumoniae,"Tilmicosin, Florfenicol, Enrofloxacin"
328,Bartonella bacilliformis,"Ciprofloxacin, Rifampin, Doxycycline"
329,Brucella melitensis,"Doxycycline, Rifampin, Streptomycin"
330,Campylobacter jejuni,"Azithromycin, Ciprofloxacin, Erythromycin"
331,Coxiella burnetii,"Doxycycline, Hydroxychloroquine"
332,Francisella tularensis,"Streptomycin, Gentamicin, Doxycycline, Ciprofloxacin"
333,Fusobacterium nucleatum,"Metronidazole, Clindamycin, Penicillin"
334,Helicobacter pylori,"Clarithromycin, Amoxicillin, Metronidazole, Tetracycline, Levofloxacin"
336,Neisseria gonorrhoeae,"Ceftriaxone, Azithromycin, Doxycycline"
337,Neisseria meningitidis,"Penicillin, Ceftriaxone, Rifampin"
338,Pseudomonas aeruginosa,"Ciprofloxacin, Tobramycin, Piperacillin"
339,Pseudomonas entomophila,"Gentamicin, Amikacin, Meropenem"
340,Pseudomonas fluorescens,"Levofloxacin, Ceftazidime, Colistin"
341,Pseudoalteromonas translucida,"Azithromycin, Doxycycline, Cefepime"
342,Rhizobium etli,"Rifampicin, Streptomycin, Tetracycline"
343,Rhizobium leguminosarum bv. trifolii,"Chloramphenicol, Erythromycin, Kanamycin"
344,Rhizorhabdus wittichii,"Vancomycin, Linezolid, Daptomycin"
345,Rhodospirillum centenum,"Clindamycin, Metronidazole, Tinidazole"
346,Rhodopseudomonas palustris,"Clarithromycin, Aztreonam, Imipenem"
347,Rippkaea orientalis,"Sulfamethoxazole, Trimethoprim, Nitrofurantoin"
348,Ruminiclostridium cellulolyticum,"Penicillin, Ampicillin, Cephalexin"
349,Ruthia magnifica subsp. Calyptogena magnifica,"Ceftriaxone, Cefotaxime, Cefuroxime"
350,Saccharophagus degradans,"Moxifloxacin, Ofloxacin, Norfloxacin"
351,Sinorhizobium fredii,"Minocycline, Demeclocycline, Tigecycline"
352,Sinorhizobium medicae,"Azlocillin, Mezlocillin, Carbenicillin"
353,Sorangium cellulosum,"Fosfomycin, Bacitracin, Polymyxin B"
354,Sphingopyxis alaskensis,"Erythromycin, Clarithromycin, Azithromycin"
355,Streptococcus equi subsp. equi,"Penicillin, Amoxicillin, Cefadroxil"
356,Streptococcus equi subsp. zooepidemicus,"Cefazolin, Cephalothin, Cefaclor"
357,Streptococcus gordonii,"Clindamycin, Erythromycin, Azithromycin"
358,Stenotrophomonas maltophilia,"Trimethoprim, Sulfamethoxazole, Levofloxacin"
359,Streptococcus pneumoniae serotype 2,"Amoxicillin, Ceftriaxone, Vancomycin"
360,Streptococcus pneumoniae serotype 19F,"Cefotaxime, Cefuroxime, Levofloxacin"
361,Streptococcus pneumoniae,"Penicillin, Amoxicillin, Azithromycin"
362,Streptococcus pyogenes serotype M12,"Penicillin, Erythromycin, Clindamycin"
363,Streptococcus pyogenes serotype M12,"Amoxicillin, Azithromycin, Clarithromycin"
364,Streptococcus pyogenes serotype M2,"Cephalexin, Cefadroxil, Cefuroxime"
365,Streptococcus pyogenes serotype M4,"Penicillin, Amoxicillin, Clindamycin"
366,Streptococcus pyogenes serotype M5,"Erythromycin, Azithromycin, Clarithromycin"
367,Streptococcus pneumoniae,"Ceftriaxone, Cefotaxime, Levofloxacin"
369,Streptococcus pneumoniae serotype 4,"Ceftriaxone, Cefotaxime, Vancomycin"
370,Streptococcus pneumoniae,"Penicillin, Amoxicillin, Cefuroxime"
371,Streptococcus pyogenes serotype M49,"Erythromycin, Azithromycin, Clindamycin"
373,Streptococcus equi subsp. zooepidemicus,"Penicillin, Amoxicillin, Cefadroxil"
374,Streptococcus sanguinis,"Clindamycin, Erythromycin, Azithromycin"
375,Streptococcus thermophilus,"Penicillin, Amoxicillin, Cefadroxil"
376,Streptococcus thermophilus,"Cefazolin, Cephalothin, Cefaclor"
377,Streptococcus thermophilus,"Clindamycin, Erythromycin, Azithromycin"
378,Streptococcus uberis,"Penicillin, Amoxicillin, Cefadroxil"
381,Streptococcus pneumoniae,"Penicillin, Amoxicillin, Clindamycin"
382,Stutzerimonas stutzeri,"Ciprofloxacin, Levofloxacin, Meropenem"
383,Sulfurimonas denitrificans,"Doxycycline, Minocycline, Tetracycline"
384,Sulfurovum sp.,"Azithromycin, Clarithromycin, Erythromycin"
385,Syntrophotalea carbinolica,"Metronidazole, Tinidazole, Clindamycin"
386,Synechococcus sp.,"Rifampicin, Streptomycin, Tetracycline"
387,Synechococcus sp.,"Chloramphenicol, Erythromycin, Kanamycin"
388,Synechococcus sp.,"Vancomycin, Linezolid, Daptomycin"
389,Syntrophomonas wolfei subsp. wolfei,"Clindamycin, Metronidazole, Tinidazole"
390,Teredinibacter turnerae,"Clarithromycin, Aztreonam, Imipenem"
391,Thermus thermophilus,"Sulfamethoxazole, Trimethoprim, Nitrofurantoin"
392,Thermosynechococcus vestitus,"Penicillin, Ampicillin, Cephalexin"
393,Thermodesulfovibrio yellowstonii,"Ceftriaxone, Cefotaxime, Cefuroxime"
394,Thiobacillus denitrificans,"Moxifloxacin, Ofloxacin, Norfloxacin"
395,Thioalkalivibrio sulfidiphilus,"Minocycline, Demeclocycline, Tigecycline"
396,Tolumonas auensis,"Azlocillin, Mezlocillin, Carbenicillin"
397,Treponema denticola,"Fosfomycin, Bacitracin, Polymyxin B"
398,Trichormus variabilis,"Erythromycin, Clarithromycin, Azithromycin"
399,Vesicomyosocius okutanii subsp. Calyptogena okutanii,"Penicillin, Amoxicillin, Cefadroxil"
400,Wigglesworthia glossinidia brevipalpis,"Cefazolin, Cephalothin, Cefaclor"
401,Wolinella succinogenes,"Clindamycin, Erythromycin, Azithromycin"
402,Xanthobacter autotrophicus,"Trimethoprim, Sulfamethoxazole, Levofloxacin"
403,Xylella fastidiosa,"Amoxicillin, Ceftriaxone, Vancomycin"
404,Xylella fastidiosa,"Cefotaxime, Cefuroxime, Levofloxacin"
405,Zymomonas mobilis subsp. mobilis,"Penicillin, Amoxicillin, Azithromycin"
406,Populus trichocarpa,"Ceftriaxone, Cefotaxime, Levofloxacin"
407,Allochromatium vinosum,"Penicillin, Amoxicillin, Azithromycin"
408,Lachnospira eligens,"Ceftriaxone, Cefotaxime, Levofloxacin"
409,Lactiplantibacillus plantarum,"Penicillin, Amoxicillin, Clindamycin"
410,Lysinibacillus sphaericus,"Ciprofloxacin, Levofloxacin, Meropenem"
411,Roseiflexus sp.,"Doxycycline, Minocycline, Tetracycline"
412,Agathobacter rectalis,"Azithromycin, Clarithromycin, Erythromycin"
413,Frankia alni,"Metronidazole, Tinidazole, Clindamycin"
414,Frankia sp.,"Rifampicin, Streptomycin, Tetracycline"
415,Saccharopolyspora erythraea,"Chloramphenicol, Erythromycin, Kanamycin"
416,Salinispora arenicola,"Vancomycin, Linezolid, Daptomycin"
417,Salinispora tropica,"Clindamycin, Metronidazole, Tinidazole"
418,Acholeplasma laidlawii,"Clarithromycin, Aztreonam, Imipenem"
419,Adiantum capillus-veneris,"Sulfamethoxazole, Trimethoprim, Nitrofurantoin"
420,Bartonella henselae,"Doxycycline, Azithromycin, Rifampin"
421,Bartonella quintana,"Doxycycline, Azithromycin, Rifampin"
422,Bartonella grahamii,"Doxycycline, Azithromycin, Rifampin"
423,Haemophilus influenzae,"Amoxicillin, Ceftriaxone, Azithromycin"
424,Streptococcus pyogenes serotype M1,"Penicillin, Amoxicillin, Erythromycin"
425,Streptococcus pyogenes serotype M3,"Penicillin, Amoxicillin, Erythromycin"
426,Streptococcus pyogenes serotype M6,"Penicillin, Amoxicillin, Erythromycin"
427,Streptococcus pyogenes serotype M18,"Penicillin, Amoxicillin, Erythromycin"
428,Streptococcus pyogenes serotype M28,"Penicillin, Amoxicillin, Erythromycin"
430,Streptococcus dysgalactiae subsp. equisimilis,"Penicillin, Amoxicillin, Erythromycin"
431,Streptococcus mutans serotype c,"Chlorhexidine, Fluoride, Amoxicillin"
432,Proteus mirabilis,"Ciprofloxacin, Trimethoprim-sulfamethoxazole, Ceftriaxone"
433,Streptococcus suis,"Penicillin, Amoxicillin"
434,Aspergillus candidus,"Voriconazole, Itraconazole"
435,Clostridium sporogenes,"Metronidazole, Clindamycin"
436,Mycobacteroides abscessus,"Clarithromycin, Amikacin"
437,Mycobacterium marinum,"Rifampicin, Ethambutol"
440,Candida glabrata,"Fluconazole, Caspofungin"
443,Mycoplasma genitalium,Azithromycin
444,Mycoplasma pneumoniae,Erythromycin
445,Parabacteroides distasonis,Metronidazole
446,Phocaeicola vulgatus,Metronidazole
447,Porphyromonas gingivalis,Metronidazole
448,Rickettsia akari,Doxycycline
449,Streptococcus agalactiae,Penicillin
450,Treponema pallidum,Penicillin
451,Candida maltosa,Fluconazole
452,Ureaplasma parvum,Azithromycin
453,Anaplasma phagocytophilum,Doxycycline
454,Bifidobacterium adolescentis,Metronidazole
455,Leptospira interrogans,Doxycycline
456,Leptospira borgpetersenii,Penicillin
457,Leptospira biflexa,Penicillin
458,Neisseria meningitidis,Ceftriaxone
460,Rickettsia massiliae,Doxycycline
462,Streptomyces rimosus,Oxytetracycline
463,Streptomyces cyaneus,Chloramphenicol
464,Streptomyces halstedii,Tetracycline
465,Streptomyces violaceoruber,Streptomycin
466,Tropheryma whipplei,"Doxycycline, Hydroxychloroquine"
468,Cryptosporidium parvum,"Nitazoxanide, Paromomycin"
469,Acanthamoeba castellanii,"Chlorhexidine, Polyhexamethylene biguanide, Propamidine isethionate"
470,Naegleria fowleri,"Amphotericin B, Miltefosine"
471,Plasmodium falciparum,"Artemisinin, Chloroquine, Mefloquine"
472,Pneumocystis carinii,"Trimethoprim-sulfamethoxazole, Pentamidine"
473,Cryptococcus neoformans,"Fluconazole, Amphotericin B, Flucytosine"
474,Dictyocaulus viviparus,"Ivermectin, Albendazole"
475,Exophiala dermatitidis,"Voriconazole, Itraconazole"
476,Giardia intestinalis,"Metronidazole, Tinidazole, Nitazoxanide"
477,Leishmania major,"Amphotericin B, Miltefosine, Sodium stibogluconate"
478,Taenia solium,"Praziquantel, Albendazole"
479,Toxoplasma gondii,"Pyrimethamine, Sulfadiazine, Clindamycin"
480,Staphylococcus xylosus,"Vancomycin, Linezolid, Daptomycin"
482,Ajellomyces dermatitidis,"Itraconazole, Amphotericin B"
483,Arthroderma gypseum,"Terbinafine, Itraconazole"
484,Arthroderma otae,"Terbinafine, Itraconazole"
485,Blastomyces gilchristii,"Itraconazole, Amphotericin B"
486,Coccidioides posadasii,"Fluconazole, Itraconazole, Amphotericin B"
487,Paracoccidioides lutzii,"Itraconazole, Amphotericin B"
488,Paracoccidioides brasiliensis,"Itraconazole, Amphotericin B"
489,Trichophyton verrucosum,"Terbinafine, Itraconazole"
507,Plasmodium vivax,"Chloroquine, Primaquine"
508,Ustilago maydis,"Amphotericin B, Itraconazole"
509,Serratia plymuthica,"Ciprofloxacin, Levofloxacin"
