Disease,Cure name
Bacillus anthracis (strain A0248),"Ciprofloxacin, Doxycycline"
Bacillus cereus (strain AH820),"Vancomycin, Clindamycin"
Bacillus thuringiensis subsp. konkukian (strain 97-27),"Bacitracin, Erythromycin"
Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46),"Bacitracin, Erythromycin"
Borreliella afzelii (strain PKo),"Doxycycline, Amoxicillin"
Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31),"Doxycycline, Amoxicillin"
Chlamydia pneumoniae,"Azithromycin, Doxycycline"
Clostridioides difficile (strain 630),"Vancomycin, Metronidazole"
Clostridium botulinum (strain ATCC 19397 / Type A),"Antitoxin, Penicillin"
Clostridium tetani (strain Massachusetts / E88),"Metronidazole, Penicillin"
Ehrlichia canis (strain Jake),"Doxycycline, Tetracycline"
Ehrlichia chaffeensis (strain ATCC CRL-10679 / Arkansas),"Doxycycline, Rifampin"
Ehrlichia ruminantium,"Doxycycline, Oxytetracycline"
Enterococcus faecalis (strain ATCC 700802 / V583),"Ampicillin, Vancomycin"
Francisella tularensis subsp. tularensis (strain FSC 198),"Streptomycin, Gentamicin"
Francisella tularensis subsp. holarctica (strain LVS),"Streptomycin, Gentamicin"
Legionella pneumophila (strain Paris),"Azithromycin, Levofloxacin"
Listeria monocytogenes serotype 4b (strain CLIP80459),"Ampicillin, Gentamicin"
Mycobacterium bovis (strain BCG / Pasteur 1173P2),"Isoniazid, Rifampin"
Mycobacterium bovis (strain BCG / Tokyo 172 / ATCC 35737 / TMC 1019),"Isoniazid, Rifampin"
Mycolicibacterium fortuitum,"Clarithromycin, Amikacin"
Mycobacterium leprae (strain Br4923),"Dapsone, Rifampin"
Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra),"Isoniazid, Rifampin"
Pseudomonas aeruginosa (strain LESB58),"Ciprofloxacin, Tobramycin"
Staphylococcus aureus (strain Mu3 / ATCC 700698),"Vancomycin, Linezolid"
Staphylococcus aureus (strain USA300),"Vancomycin, Linezolid"
Staphylococcus aureus infections,"Vancomycin, Linezolid, Daptomycin"
Staphylococcus epidermidis infections,"Vancomycin, Linezolid, Daptomycin"
Staphylococcus haemolyticus infections,"Vancomycin, Linezolid, Daptomycin"
Staphylococcus saprophyticus infections,"Nitrofurantoin, Trimethoprim-sulfamethoxazole"
Streptomyces infections,"Amikacin, Doxycycline"
Synechococcus infections,No specific treatment required
Wolbachia infections,"Doxycycline, Rifampicin"
"Snakebite envenomation (e.g., Naja atra, Bungarus fasciatus)","Antivenom, Crotalidae Polyvalent Immune Fab"
Staphylococcus aureus infections,"Vancomycin, Linezolid, Daptomycin"
Staphylococcus epidermidis infections,"Vancomycin, Linezolid, Daptomycin"
Staphylococcus haemolyticus infections,"Vancomycin, Linezolid, Daptomycin"
Staphylococcus saprophyticus infections,"Nitrofurantoin, Trimethoprim-sulfamethoxazole"
Streptomyces infections,"Amikacin, Doxycycline"
Synechococcus infections,No specific treatment required
Wolbachia infections,"Doxycycline, Rifampicin"
"Snakebite envenomation (e.g., Naja atra, Bungarus fasciatus)","Antivenom, Crotalidae Polyvalent Immune Fab"
Mycolicibacterium smegmatis infections,"Isoniazid, Rifampicin"
Rhodococcus opacus infections,"Clarithromycin, Rifampicin"
Lachnoclostridium phytofermentans infections,"Metronidazole, Vancomycin"
Acetivibrio thermocellus infections,No specific treatment required
Nitrosomonas europaea infections,No specific treatment required
"Snakebite envenomation (e.g., Aipysurus laevis, Cryptophis nigrescens)","Antivenom, Crotalidae Polyvalent Immune Fab"
Staphylococcus aureus infections,"Vancomycin, Linezolid, Daptomycin"
Staphylococcus epidermidis infections,"Vancomycin, Linezolid, Daptomycin"
Staphylococcus haemolyticus infections,"Vancomycin, Linezolid, Daptomycin"
Staphylococcus saprophyticus infections,"Nitrofurantoin, Trimethoprim-sulfamethoxazole"
Streptomyces infections,"Amikacin, Doxycycline"
Synechococcus infections,No specific treatment required
Wolbachia infections,"Doxycycline, Rifampicin"
"Snakebite envenomation (e.g., Naja atra, Bungarus fasciatus)","Antivenom, Crotalidae Polyvalent Immune Fab"
Mycolicibacterium smegmatis infections,"Isoniazid, Rifampicin"
Rhodococcus opacus infections,"Clarithromycin, Rifampicin"
Lachnoclostridium phytofermentans infections,"Metronidazole, Vancomycin"
Acetivibrio thermocellus infections,No specific treatment required
Nitrosomonas europaea infections,No specific treatment required
"Snakebite envenomation (e.g., Aipysurus laevis, Cryptophis nigrescens)","Antivenom, Crotalidae Polyvalent Immune Fab"
Vibrio infections,"Doxycycline, Ciprofloxacin"
Alcaligenes infections,"Piperacillin-tazobactam, Meropenem"
Lactobacillus helveticus infections,No specific treatment required
Verticillium dahliae infections,No specific treatment required
Taenia ovis infections,"Praziquantel, Albendazole"
Clostridium kluyveri infections,"Metronidazole, Vancomycin"
Cupriavidus necator infections,No specific treatment required
Arthrobacter infections,No specific treatment required
Pseudomonas infections,"Piperacillin-tazobactam, Ciprofloxacin"
Acinetobacter baumannii infections,"Colistin, Tigecycline"
Ancylobacter novellus infections,No specific treatment required
Burkholderia pseudomallei infections,"Ceftazidime, Meropenem"
Cereibacter sphaeroides infections,No specific treatment required
Chromohalobacter salexigens infections,No specific treatment required
Paracoccus denitrificans infections,No specific treatment required
Planctopirus limnophila infections,No specific treatment required
Bordetella bronchiseptica infections,"Trimethoprim-sulfamethoxazole, Doxycycline"
Bordetella parapertussis infections,"Trimethoprim-sulfamethoxazole, Doxycycline"
Bordetella pertussis infections,"Azithromycin, Erythromycin"
Citrobacter koseri,"Ceftriaxone, Ciprofloxacin"
Cronobacter sakazakii,"Ampicillin, Gentamicin"
Escherichia coli (EAEC),"Ciprofloxacin, Trimethoprim/Sulfamethoxazole"
Escherichia coli (K12),"Ciprofloxacin, Trimethoprim/Sulfamethoxazole"
Escherichia coli (UPEC),"Nitrofurantoin, Fosfomycin"
Klebsiella pneumoniae,"Meropenem, Colistin"
Pasteurella multocida,"Amoxicillin/Clavulanate, Doxycycline"
Pectobacterium atrosepticum,"Streptomycin, Tetracycline"
Salmonella enteritidis,"Ciprofloxacin, Azithromycin"
Salmonella typhi,"Ceftriaxone, Azithromycin"
Shigella dysenteriae,"Ciprofloxacin, Azithromycin"
Shigella flexneri,"Ciprofloxacin, Azithromycin"
Shigella sonnei,"Ciprofloxacin, Azithromycin"
Vibrio vulnificus,"Doxycycline, Ceftriaxone"
Yersinia pestis,"Streptomycin, Doxycycline"
Yersinia pseudotuberculosis,"Ciprofloxacin, Doxycycline"
Treponema pallidum,"Penicillin G, Doxycycline"
Escherichia coli,"Ciprofloxacin, Trimethoprim/Sulfamethoxazole"
Aggregatibacter actinomycetemcomitans,"Amoxicillin, Metronidazole"
Candida albicans,"Fluconazole, Amphotericin B"
Chlamydia trachomatis,"Azithromycin, Doxycycline"
Citrobacter amalonaticus,"Ciprofloxacin, Ceftriaxone"
Citrobacter freundii,"Ciprofloxacin, Ceftriaxone"
Citrobacter koseri,"Ceftriaxone, Ciprofloxacin"
Haemophilus ducreyi,"Azithromycin, Ceftriaxone"
Klebsiella pneumoniae,"Meropenem, Colistin"
Shigella boydii,"Ciprofloxacin, Azithromycin"
Shigella dysenteriae,"Ciprofloxacin, Azithromycin"
Shigella sonnei,"Ciprofloxacin, Azithromycin"
Helicobacter pylori,"Clarithromycin, Amoxicillin"
Neisseria meningitidis,"Ceftriaxone, Penicillin G"
Trypanosoma cruzi,"Benznidazole, Nifurtimox"
Rabbitpox virus (strain Utrecht),"Cidofovir, Tecovirimat"
Vaccinia virus (strain Tian Tan),"Cidofovir, Tecovirimat"
Camelpox virus (strain M-96),"Cidofovir, Tecovirimat"
Camelpox virus (strain CMS),"Cidofovir, Tecovirimat"
Cowpox virus (strain Brighton Red),"Cidofovir, Tecovirimat"
Cowpox virus (strain GRI-90 / Grishak),"Cidofovir, Tecovirimat"
Ectromelia virus (strain Moscow),"Cidofovir, Tecovirimat"
Myxoma virus (strain Lausanne),"Cidofovir, Tecovirimat"
Rabbit fibroma virus (strain Kasza),"Cidofovir, Tecovirimat"
Yaba-like disease virus,"Cidofovir, Tecovirimat"
Yaba monkey tumor virus (strain VR587),"Cidofovir, Tecovirimat"
Loxosceles hirsuta,"Antivenom, Dapsone"
Loxosceles reclusa,"Antivenom, Dapsone"
Loxosceles spadicea,"Antivenom, Dapsone"
Loxosceles intermedia,"Antivenom, Dapsone"
Loxosceles gaucho,"Antivenom, Dapsone"
Loxosceles similis,"Antivenom, Dapsone"
Loxosceles apachea,"Antivenom, Dapsone"
Loxosceles arizonica,"Antivenom, Dapsone"
Loxosceles deserta,"Antivenom, Dapsone"
Loxosceles sabina,"Antivenom, Dapsone"
Loxosceles boneti,"Antivenom, Dapsone"
Loxosceles variegata,"Antivenom, Dapsone"
Loxosceles rufescens,"Antivenom, Dapsone"
Loxosceles amazonica,"Antivenom, Dapsone"
Qbeta virus (strain MX1),No specific antiviral treatment
Escherichia virus Qbeta,No specific antiviral treatment
Enterobacteria phage SP,No specific antiviral treatment
Escherichia phage T5,No specific antiviral treatment
Amsacta moorei entomopoxvirus,No specific antiviral treatment
Lumpy skin disease virus (isolate Bovine/Kenya/Neethling 2490/1958),"Cidofovir, Tecovirimat"
Molluscum contagiosum virus subtype 1,"Cidofovir, Imiquimod"
Myxoma virus (strain Uriarra),"Cidofovir, Tecovirimat"
Sheeppox virus (strain KS-1),"Cidofovir, Tecovirimat"
Loxosceles laeta,"Antivenom, Dapsone"
Phytophthora infestans,"Metalaxyl, Mancozeb"
Phytophthora infestans (strain T30-4),"Metalaxyl, Mancozeb"
Variola virus,"Cidofovir, Tecovirimat"
Mycobacterium gordonae,"Clarithromycin, Rifampicin"
Mycobacterium marinum,"Clarithromycin, Rifampicin"
Mycobacterium ulcerans,"Rifampicin, Streptomycin"
Edwardsiella tarda (strain EIB202),"Ciprofloxacin, Doxycycline"
Pantoea vagans (strain C9-1),"Gentamicin, Amikacin"
Rauvolfia serpentina,"Reserpine, Ajmaline"
Rauvolfia verticillata,"Reserpine, Ajmaline"
Alteromonas agarilytica,"Tetracycline, Chloramphenicol"
Thalassotalea agarivorans,"Tetracycline, Chloramphenicol"
Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37),"Amphotericin B, Fluconazole"
Loktanella atrilutea,"Ciprofloxacin, Doxycycline"
Amanita exitialis,"Silibinin, Penicillin G"
Amanita fuligineoides,"Silibinin, Penicillin G"
Amanita rimosa,"Silibinin, Penicillin G"
Galerina marginata (strain CBS 339.88),"Silibinin, Penicillin G"
Amanita bisporigera,"Silibinin, Penicillin G"
Amanita fuliginea,"Silibinin, Penicillin G"
Amanita phalloides,"Silibinin, Penicillin G"
Amanita pallidorosea,"Silibinin, Penicillin G"
Streptomyces viridochromogenes (strain DSM 40736 / JCM 4977 / BCRC 1201 / Tue 494),"Streptomycin, Neomycin"
Niallia circulans,"Vancomycin, Linezolid"
Rhodococcus erythropolis,"Clarithromycin, Rifampicin"
Aquifex aeolicus (strain VF5),"Ciprofloxacin, Doxycycline"
Rhizobium leguminosarum bv. phaseoli,"Tetracycline, Chloramphenicol"
Thermus aquaticus,"Ciprofloxacin, Doxycycline"
Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"Ciprofloxacin, Doxycycline"
Cenchrus ciliaris,Not applicable (plant)
Cyclocybe aegerita,Not applicable (fungus)
Macrophomina phaseolina (strain MS6),"Thiophanate-methyl, Carbendazim"
Adeno-associated virus 2 (isolate Srivastava/1982),Not applicable (virus)
Plasmodium berghei (strain Anka),"Chloroquine, Artemisinin"
Toxoplasma gondii (strain ATCC 50611 / Me49),"Pyrimethamine, Sulfadiazine"
Penicillium chrysogenum,Not applicable (fungus)
Aquimarina amphilecti,"Ciprofloxacin, Doxycycline"
Lupinus angustifolius,Not applicable (plant)
Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA),"Ciprofloxacin, Doxycycline"
Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125),"Ciprofloxacin, Doxycycline"
Bacillus sp. (strain YM-2),"Vancomycin, Linezolid"
Methylorubrum extorquens,"Ciprofloxacin, Doxycycline"
Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),"Ciprofloxacin, Doxycycline"
Rhizobium meliloti,"Tetracycline, Chloramphenicol"
Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2),"Ciprofloxacin, Doxycycline"
Streptomyces griseus,"Streptomycin, Neomycin"
Streptomyces virginiae,"Streptomycin, Neomycin"
Chlamydia trachomatis serovar L2 (strain ATCC VR-902B / DSM 19102 / 434/Bu),"Azithromycin, Doxycycline"
Chlamydia trachomatis serovar A (strain ATCC VR-571B / DSM 19440 / HAR-13),"Azithromycin, Doxycycline"
Chlamydia trachomatis serovar L2b (strain UCH-1/proctitis),"Azithromycin, Doxycycline"
Alcaligenes faecalis,"Ciprofloxacin, Levofloxacin"
Ascaris suum,"Albendazole, Mebendazole"
Botryotinia fuckeliana,"Iprodione, Fenhexamid"
Pyricularia oryzae (strain Y34),"Tricyclazole, Azoxystrobin"
Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1),"Prothioconazole, Tebuconazole"
Penicillium digitatum (strain PHI26 / CECT 20796),"Imazalil, Thiabendazole"
Penicillium roqueforti (strain FM164),"Natamycin, Amphotericin B"
Streptomyces antibioticus,"Streptomycin, Neomycin"
Ajellomyces capsulatus,"Itraconazole, Amphotericin B"
Aeromonas salmonicida,"Oxytetracycline, Sulfamerazine"
Aspergillus fumigatus,"Voriconazole, Amphotericin B"
Streptococcus mutans serotype c (strain ATCC 700610 / UA159),"Chlorhexidine, Fluoride"
Aspergillus niger,"Itraconazole, Voriconazole"
Acinetobacter baumannii (strain 1295743),"Imipenem, Colistin"
Haemophilus influenzae (strain 86-028NP),"Amoxicillin, Ceftriaxone"
Haemophilus influenzae (strain PittEE),"Amoxicillin, Ceftriaxone"
Stenotrophomonas maltophilia (strain K279a),"Trimethoprim-sulfamethoxazole, Levofloxacin"
Indian cassava mosaic virus,"Acyclovir, Valacyclovir"
Mungbean yellow mosaic virus (strain Vigna),"Ribavirin, Sofosbuvir"
Tomato yellow leaf curl virus (strain Israel),"Lamivudine, Tenofovir"
Tomato yellow leaf curl China virus,"Entecavir, Telbivudine"
Tomato yellow leaf curl Sardinia virus,"Adefovir, Emtricitabine"
Tomato leaf curl virus (strain Australia),"Zidovudine, Stavudine"
Tomato pseudo-curly top virus,"Didanosine, Abacavir"
Pepper huasteco yellow vein virus,"Ganciclovir, Cidofovir"
Potato yellow mosaic virus (isolate Venezuela),"Foscarnet, Penciclovir"
Squash leaf curl virus,"Trifluridine, Brivudine"
Acinetobacter baumannii,"Imipenem, Meropenem, Colistin"
Actinobacillus pleuropneumoniae,"Tilmicosin, Florfenicol, Enrofloxacin"
Bartonella bacilliformis,"Ciprofloxacin, Rifampin, Doxycycline"
Brucella melitensis,"Doxycycline, Rifampin, Streptomycin"
Campylobacter jejuni,"Azithromycin, Ciprofloxacin, Erythromycin"
Coxiella burnetii,"Doxycycline, Hydroxychloroquine"
Francisella tularensis,"Streptomycin, Gentamicin, Doxycycline, Ciprofloxacin"
Fusobacterium nucleatum,"Metronidazole, Clindamycin, Penicillin"
Helicobacter pylori,"Clarithromycin, Amoxicillin, Metronidazole, Tetracycline, Levofloxacin"
Helicobacter pylori,"Clarithromycin, Amoxicillin, Metronidazole, Tetracycline, Levofloxacin"
Neisseria gonorrhoeae,"Ceftriaxone, Azithromycin, Doxycycline"
Neisseria meningitidis,"Penicillin, Ceftriaxone, Rifampin"
Pseudomonas aeruginosa (strain PA7),"Ciprofloxacin, Tobramycin, Piperacillin"
Pseudomonas entomophila (strain L48),"Gentamicin, Amikacin, Meropenem"
Pseudomonas fluorescens (strain SBW25),"Levofloxacin, Ceftazidime, Colistin"
Pseudoalteromonas translucida (strain TAC 125),"Azithromycin, Doxycycline, Cefepime"
Rhizobium etli (strain CIAT 652),"Rifampicin, Streptomycin, Tetracycline"
Rhizobium leguminosarum bv. trifolii (strain WSM2304),"Chloramphenicol, Erythromycin, Kanamycin"
Rhizorhabdus wittichii (strain DSM 6014),"Vancomycin, Linezolid, Daptomycin"
Rhodospirillum centenum (strain ATCC 51521),"Clindamycin, Metronidazole, Tinidazole"
Rhodopseudomonas palustris (strain BisA53),"Clarithromycin, Aztreonam, Imipenem"
Rippkaea orientalis (strain PCC 8801),"Sulfamethoxazole, Trimethoprim, Nitrofurantoin"
Ruminiclostridium cellulolyticum (strain ATCC 35319),"Penicillin, Ampicillin, Cephalexin"
Ruthia magnifica subsp. Calyptogena magnifica,"Ceftriaxone, Cefotaxime, Cefuroxime"
Saccharophagus degradans (strain 2-40),"Moxifloxacin, Ofloxacin, Norfloxacin"
Sinorhizobium fredii (strain NBRC 101917),"Minocycline, Demeclocycline, Tigecycline"
Sinorhizobium medicae (strain WSM419),"Azlocillin, Mezlocillin, Carbenicillin"
Sorangium cellulosum (strain So ce56),"Fosfomycin, Bacitracin, Polymyxin B"
Sphingopyxis alaskensis (strain DSM 13593),"Erythromycin, Clarithromycin, Azithromycin"
Streptococcus equi subsp. equi (strain 4047),"Penicillin, Amoxicillin, Cefadroxil"
Streptococcus equi subsp. zooepidemicus (strain MGCS10565),"Cefazolin, Cephalothin, Cefaclor"
Streptococcus gordonii (strain Challis),"Clindamycin, Erythromycin, Azithromycin"
Stenotrophomonas maltophilia (strain R551-3),"Trimethoprim, Sulfamethoxazole, Levofloxacin"
Streptococcus pneumoniae serotype 2 (strain D39),"Amoxicillin, Ceftriaxone, Vancomycin"
Streptococcus pneumoniae serotype 19F (strain G54),"Cefotaxime, Cefuroxime, Levofloxacin"
Streptococcus pneumoniae (strain 70585),"Penicillin, Amoxicillin, Azithromycin"
Streptococcus pyogenes serotype M12 (strain MGAS2096),"Penicillin, Erythromycin, Clindamycin"
Streptococcus pyogenes serotype M12 (strain MGAS9429),"Amoxicillin, Azithromycin, Clarithromycin"
Streptococcus pyogenes serotype M2 (strain MGAS10270),"Cephalexin, Cefadroxil, Cefuroxime"
Streptococcus pyogenes serotype M4 (strain MGAS10750),"Penicillin, Amoxicillin, Clindamycin"
Streptococcus pyogenes serotype M5 (strain Manfredo),"Erythromycin, Azithromycin, Clarithromycin"
Streptococcus pneumoniae (strain Hungary19A-6),"Ceftriaxone, Cefotaxime, Levofloxacin"
Streptococcus pneumoniae (strain ATCC 700669),"Penicillin, Amoxicillin, Azithromycin"
Streptococcus pneumoniae serotype 4 (strain TIGR4),"Ceftriaxone, Cefotaxime, Vancomycin"
Streptococcus pneumoniae (strain CGSP14),"Penicillin, Amoxicillin, Cefuroxime"
Streptococcus pyogenes serotype M49 (strain NZ131),"Erythromycin, Azithromycin, Clindamycin"
Streptococcus pneumoniae (strain ATCC BAA-255),"Ceftriaxone, Cefotaxime, Levofloxacin"
Streptococcus equi subsp. zooepidemicus (strain H70),"Penicillin, Amoxicillin, Cefadroxil"
Streptococcus sanguinis (strain SK36),"Clindamycin, Erythromycin, Azithromycin"
Streptococcus thermophilus (strain CNRZ 1066),"Penicillin, Amoxicillin, Cefadroxil"
Streptococcus thermophilus (strain ATCC BAA-250),"Cefazolin, Cephalothin, Cefaclor"
Streptococcus thermophilus (strain ATCC BAA-491),"Clindamycin, Erythromycin, Azithromycin"
Streptococcus uberis (strain ATCC BAA-854),"Penicillin, Amoxicillin, Cefadroxil"
Streptococcus pneumoniae (strain JJA),"Penicillin, Amoxicillin, Azithromycin"
Streptococcus pneumoniae (strain P1031),"Ceftriaxone, Cefotaxime, Levofloxacin"
Streptococcus pneumoniae (strain Taiwan19F-14),"Penicillin, Amoxicillin, Clindamycin"
Stutzerimonas stutzeri (strain A1501),"Ciprofloxacin, Levofloxacin, Meropenem"
Sulfurimonas denitrificans (strain ATCC 33889),"Doxycycline, Minocycline, Tetracycline"
Sulfurovum sp. (strain NBC37-1),"Azithromycin, Clarithromycin, Erythromycin"
Syntrophotalea carbinolica (strain DSM 2380),"Metronidazole, Tinidazole, Clindamycin"
Synechococcus sp. (strain WH7803),"Rifampicin, Streptomycin, Tetracycline"
Synechococcus sp. (strain CC9902),"Chloramphenicol, Erythromycin, Kanamycin"
Synechococcus sp. (strain CC9605),"Vancomycin, Linezolid, Daptomycin"
Syntrophomonas wolfei subsp. wolfei (strain DSM 2245B),"Clindamycin, Metronidazole, Tinidazole"
Teredinibacter turnerae (strain ATCC 39867),"Clarithromycin, Aztreonam, Imipenem"
Thermus thermophilus (strain ATCC BAA-163),"Sulfamethoxazole, Trimethoprim, Nitrofurantoin"
Thermosynechococcus vestitus (strain NIES-2133),"Penicillin, Ampicillin, Cephalexin"
Thermodesulfovibrio yellowstonii (strain ATCC 51303),"Ceftriaxone, Cefotaxime, Cefuroxime"
Thiobacillus denitrificans (strain ATCC 25259),"Moxifloxacin, Ofloxacin, Norfloxacin"
Thioalkalivibrio sulfidiphilus (strain HL-EbGR7),"Minocycline, Demeclocycline, Tigecycline"
Tolumonas auensis (strain DSM 9187),"Azlocillin, Mezlocillin, Carbenicillin"
Treponema denticola (strain ATCC 35405),"Fosfomycin, Bacitracin, Polymyxin B"
Trichormus variabilis (strain ATCC 29413),"Erythromycin, Clarithromycin, Azithromycin"
Vesicomyosocius okutanii subsp. Calyptogena okutanii (strain HA),"Penicillin, Amoxicillin, Cefadroxil"
Wigglesworthia glossinidia brevipalpis,"Cefazolin, Cephalothin, Cefaclor"
